Distrito,%Au,peso(grm),tamaño(cm),Densidad(kg/m3),Porocidad(u.p.)
1,10,165,5,6,76
1,42,297,25,31,27
1,5,16,5,47,48
1,78,179,17,5,13
2,63,373,35,15,4
2,37,451,13,49,48
2,14,173,12,21,43
2,78,3,31,14,23
3,37,499,31,28,26
3,46,644,40,6,23
3,36,332,35,48,11
3,99,492,11,6,9
4,68,19,8,11,28
4,2,521,13,9,8
4,87,262,1,41,42
4,31,612,1,45,5
5,75,507,11,31,14
5,84,864,36,49,29
5,13,937,13,15,47
5,51,775,28,21,19
1,76,784,36,15,16
1,60,856,33,7,42
1,65,15,4,2,33
1,51,759,29,7,12
2,96,385,3,32,13
2,55,193,13,47,25
2,54,263,39,29,44
2,54,804,14,34,4
3,2,967,4,30,8
3,63,51,4,21,50
3,24,650,35,8,26
3,18,16,40,27,43
4,96,889,26,15,9
4,87,776,37,45,14
4,19,2,30,36,31
4,37,392,14,40,4
5,78,718,1,41,8
5,77,465,20,27,27
5,5,367,16,9,39
5,35,358,18,14,40
1,52,170,27,18,15
1,34,454,29,26,2
1,12,297,12,50,13
1,14,174,6,8,45
2,22,427,39,27,43
2,15,695,10,19,9
2,96,6,39,17,5
2,100,72,29,38,15
3,10,210,26,11,11
3,11,600,34,7,31
3,57,834,11,17,18
3,86,775,23,40,17
4,35,661,39,36,7
4,2,708,11,36,33
4,49,924,15,23,1
4,70,567,18,9,7
5,11,62,19,2,24
5,29,885,36,26,12
5,3,381,3,11,47
5,78,215,23,49,11
1,30,125,4,6,27
1,77,420,21,24,27
1,11,715,31,39,48
1,95,529,21,45,37
2,63,697,32,2,45
2,40,320,6,23,23
2,8,341,19,3,49
2,83,862,13,8,35
3,36,184,24,8,48
3,17,449,9,21,33
3,77,72,36,36,28
3,80,645,2,36,1
4,65,255,19,40,3
4,86,296,28,41,50
4,64,995,34,36,1
4,5,202,9,24,45
5,44,281,23,43,14
5,7,587,10,32,23
5,72,634,34,47,23
5,14,984,4,27,9
1,22,387,31,43,4
1,98,522,5,50,35
1,4,112,11,5,44
1,20,270,21,18,33
2,63,19,30,38,40
2,16,562,4,23,22
2,43,459,12,3,18
2,35,467,32,50,23
3,69,30,21,39,49
3,40,20,9,20,1
3,25,751,3,21,16
3,19,278,31,34,41
4,27,473,4,40,30
4,32,601,25,1,40
4,79,110,36,27,10
4,89,32,3,2,23
5,96,692,34,6,29
5,39,754,5,27,39
5,18,50,15,47,1
5,1,935,25,4,32
1,29,532,27,3,29
1,29,895,28,40,17
1,45,468,20,12,30
1,70,744,28,28,36
2,49,707,26,39,35
2,3,568,21,33,41
2,94,822,1,22,47
2,64,941,22,49,23
3,3,350,8,49,40
3,88,153,14,14,32
3,56,767,11,6,18
3,90,326,37,10,43
4,63,236,25,44,40
4,15,566,6,30,9
4,36,977,10,19,8
4,62,113,34,24,48
5,93,313,8,8,39
5,46,71,2,37,17
5,92,725,1,13,44
5,19,916,32,17,29
1,86,619,25,12,9
1,24,654,6,10,3
1,4,230,10,21,13
1,99,984,25,39,33
2,49,968,12,26,23
2,81,242,2,50,1
2,48,4,3,39,27
2,66,39,6,50,42
3,19,301,35,10,17
3,50,545,31,3,35
3,72,434,32,45,10
3,88,447,27,1,39
4,95,54,4,50,13
4,31,245,18,46,39
4,39,838,4,45,29
4,71,895,20,50,27
5,8,414,10,25,48
5,43,63,29,26,33
5,40,790,16,26,29
5,70,897,5,25,44
1,63,617,40,2,21
1,58,355,23,18,13
1,98,379,18,43,19
1,58,527,7,48,27
2,43,608,26,22,12
2,71,977,24,36,4
2,12,543,39,27,48
2,88,991,4,42,26
3,9,545,22,12,32
3,69,865,18,5,45
3,96,527,29,36,38
3,46,466,39,39,21
4,31,978,19,42,28
4,41,422,23,38,40
4,2,958,34,21,4
4,32,419,20,35,7
5,46,458,20,21,31
5,61,869,30,41,4
5,6,465,40,18,25
5,29,511,40,9,34
1,15,800,2,42,50
1,35,48,9,8,37
1,39,614,9,49,1
1,14,202,17,17,12
2,6,515,8,5,49
2,59,327,4,29,15
2,10,389,28,10,5
2,56,799,33,8,29
3,64,139,1,49,11
3,50,113,4,30,33
3,48,428,6,34,49
3,23,426,28,27,35
4,81,722,1,41,27
4,41,90,26,48,39
4,45,584,10,49,21
4,73,266,9,4,2
5,55,871,1,21,46
5,38,874,34,10,2
5,94,679,27,26,20
5,96,860,35,32,5
1,85,166,35,18,43
1,25,889,38,48,26
1,32,654,7,16,36
1,86,112,23,14,50
2,99,231,33,16,27
2,7,659,28,19,26
2,62,796,38,29,15
2,97,401,8,50,16
3,82,565,31,19,46
3,75,249,31,49,47
3,8,451,30,16,41
3,83,687,10,2,41
4,11,923,24,45,35
4,94,307,24,11,50
4,67,657,31,21,19
4,13,64,33,13,14
5,2,502,9,5,27
5,15,110,2,19,50
5,48,619,30,41,35
